sumber,tanggal,teks_bersih,urgensi,sentimen,kategori_infrastruktur,kategori_lingkungan,kategori_air_sanitasi,kategori_bencana,kategori_transportasi,kategori_pelayanan_publik,kategori_ekonomi,kategori_keamanan,kategori_pendidikan,kategori_kesehatan
berita_kaggle,2026-03-26,anya asyik mengamati poster buah buahan di dinding ruangan tempat penitipan anak negeri tpan bale ra kartini kantor dinas pendidikan provinsi jakarta teman temannya sudah pulang lebih dulu orangtua anya bekerja sebagai honorer di kantor dinas tersebut setiap hari anya dititipkan untuk bermain dan belajar ditemani riska salah satu pendidik,0,1,0,0,0,0,0,0,0,0,1,0
berita_kaggle,2026-03-26,kompas com kementerian komunikasi dan informatika kemenkominfo menyelenggarakan forum literasi politik hukum dan keamanan digital firtual dengan tema masa depan cerah untuk perempuan dan anak hak dan kesempatan yang setara di sorong papua barat daya kamis 8 8 2024 acara tersebut bertujuan untuk meningkatkan kesadaran masyarakat tentang upaya pemerintah dalam,0,1,0,0,0,0,0,0,0,1,1,0
berita_kaggle,2026-03-26,bpjs kesehatan semakin menegaskan komitmennya dalam memperkuat budaya pencegahan di masyarakat melalui kebijakan skrining riwayat kesehatan srk bagi peserta program jaminan kesehatan nasional jkn mulai september oktober 2025 peserta diwajibkan melakukan skrining sebelum mengakses layanan di fasilitas kesehatan tingkat pertama fktp seperti puskesmas klinik dan praktik dokter mandiri srk menjadi,0,1,0,0,0,0,0,0,0,0,0,1
berita_kaggle,2026-03-26,menteri investasi dan hilirisasi rosan perkasa roeslani menyebut bahwa dibutuhkan realisasi investasi mencapai kurang lebih rp 13 000 triliun untuk mencapai target pertumbuhan ekonomi 8 persen pada 2029 diketahui presiden prabowo menargetkan pertumbuhan ekonomi indonesia mencapai 8 persen pada 2029 kalau untuk pertumbuhan 8 persen itu dibutuhkan kurang lebih dari,1,1,0,0,0,0,0,0,1,0,0,0
twitter,2026-04-02,kay klo ngerokok bisa nyakitin dia doang mah ga masalah njir lah ini udah bikin sakit diri sendiri bikin sakit orang lain duit yg bisa buat makan org rumah malah dibakar polusi udara,0,1,0,1,0,0,0,0,0,0,0,0
berita_kaggle,2026-03-26,adi saputra 52 warga perumahan ciledug indah 1 pedurenan karang tengah kota tangerang berharap pemerintah tidak hanya memberi janji terkait penanganan banjir di wilayahnya tetapi juga menunjukkan aksi nyata di lapangan ia mengaku kecewa karena selama ini pemerintah daerah pemda dinilai kurang tanggap dalam merespons persoalan banjir yang kerap melanda,1,0,0,1,0,0,0,0,0,0,0,0
twitter,2026-03-25,naomieva rupiah sempat menguat di era habibie tapi ada harga yang dibayar kebijakan ketat imf banyak bank tutup suku bunga tinggi usaha sulit utang negara naik pengangguran kemiskinan tinggi timor timur lepas intinya ekonomi stabil tapi dengan biaya sosial fiskal besar phk,1,0,0,0,0,0,0,0,1,0,0,0
berita_kaggle,2026-03-26,tempo co jakarta kapolda papua inspektur jenderal polisi patrige renwarin mengatakan aske mabel sempat melakukan perlawanan saat akan ditangkap di persembunyiannya pada rabu 19 februari 2025 aske merupakan mantan anggota kepolisian polres yalimo yang membelot dan diduga bergabung dengan kelompok kriminal bersenjata kkb pada pertengahan tahun lalu saat ditangkap dia,0,1,0,0,0,0,0,0,0,1,0,0
berita_kaggle,2026-03-26,polresta serang kota tengah menyelidiki temuan pembuangan limbah medis di dekat tempat pemakaman umum tpu graha walantaka kota serang lokasi tersebut juga berada dekat dengan permukiman masyarakat kasat reskrim polresta serang kota kompol alfano ramadhan mengatakan polisi telah mendatangi lokasi tempat limbah medis dibuang selain itu polisi telah berkoordinasi dengan,0,1,0,1,0,0,0,0,0,1,0,0
berita_kaggle,2026-03-26,seorang siswa kelas vii smp negeri 1 geyer kabupaten grobogan jawa tengah meninggal dunia diduga karena dibully oleh teman sekelasnya pada sabtu 11 oktober 2025 siswa laki laki itu bernama angga bagus perwira yang tinggal di desa ledokdawan geyer grobogan menteri pendidikan dasar dan menengah abdul mu ti mengatakan bahwa,2,2,0,0,0,0,0,0,0,0,1,0
twitter,2026-03-26,jalan rusak di desa kuwiran kecamatan banyudono kabupaten boyolali menghambat hilirisasi di sektor peternakan apr 1,1,0,1,0,0,0,0,1,0,0,0,0
berita_kaggle,2026-03-26,puluhan bus angkutan mudik di terminal kampung rambutan tak lolos pemeriksaan atau rampchek yang dilakukan petugas penguji dari unit pelayanan pengujian kendaraan bermotor uppkb jakarta memeriksa 15 17 bus di terminal kampung rambutan setiap harinya beberapa bus kita temukan menggunakan ban vulkanisir seharusnya tidak laik jalan ujar suparman penguji uppkb,0,1,0,0,0,0,1,0,0,0,0,0
berita_kaggle,2024-11-05,jalan radio dalam raya arah pondok indah maupun kebayoran baru jakarta selatan macet pada selasa 5 11 2024 malam pantauan kompas com di lokasi pukul 18 47 wib kendaraan roda empat dan roda dua mengular dari persimpangan jalan haji nawi menuju arah pondok indah dari arah sebaliknya kemacetan terjadi sejak,1,1,0,0,0,0,1,0,0,0,0,0
twitter,2026-03-26,jangan cuma fokus ke jalan berlubang coba liat kerja nyata mbg banyak hal penting lain yang udah mereka kerjain juga mar 29,1,1,1,0,0,0,0,0,0,0,0,0
berita_kaggle,2026-03-26,penumpang krl commuter line tertahan dan menumpuk di peron stasiun pondok ranji tangerang selatan rabu 20 8 2025 malam usai gempa bermagnitudo 4 9 mengguncang kabupaten bekasi jawa barat salah satu penumpang rani 35 menuturkan dirinya bersama penumpang lain terpaksa turun dari kereta karena perjalanan belum bisa dilanjutkan penumpang pada,2,1,0,0,0,1,1,0,0,0,0,0
