sumber,tanggal,username,teks_bersih,kategori_isu,urgensi,sentimen,lokasi_insiden
twitter,2026-03-25,@alung_koh21471,Koh Alung krisis air Pemerintah berupaya menangani bersih di Karang Baru secara bertahap.,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-03-25,@ciroalves2055,"Rizki Fadillnaldo KRISIS AIR BERSIH? JANGAN ASAL MENYALAHKAN! Masalahnya lebih kompleks dari yang terlihat: ada faktor iklim, kerusakan lingkungan, hingga infrastruktur. Pemerintah tidak diam! Sudah ada bantuan air, pencarian sumber baru, dan rencana pembangunan jangka panjang.",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-03-25,@indrakusuma,"Indra Kusuma air keruh Mangkanya doi dkk kecewa bbm ga naik, jadi rencana agak mundur dikit, ini pasti ada aliansi bohir yg mau memancing di , memanfaatkan situasi perang Disisi lain pemerentah bertaruh perang tidak lama, suplai minyak kembali lancar, harga turun lagi",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-03-25,@AnkoroMochi_sa,ankoromochi air mati Betul...boncos buat renov...saluran air gak jelas...pdamnya anjing tiap minggu kalo nggak,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-03-25,@Mr_amanSH,Aman SH MBA air keruh Mainan gorong2 4 jari tunjuk relawan sendiri,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-03-25,@mey248546,"Mey air keruh Ternyata air jernih belum tentu higenis ya,apa lagi",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-03-25,@mazakyr,"Zaky air mati Libur lebaran , pekerja libur semua?comment ig di matiin, BUMD TERBAIK katanya, 3 hari belum bisa solve? TERBAIK?",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-03-25,@FaqeerIlm,searchfortruth krisis air Jika berlaku Hotel Resort Banglo Homestay Taman Tema Permainan perlu hentikan sementara penukaran air baru. Org Kaya perlu henti tukar air kolam renang sementara.Air Fountain perhiasan di Jabatan Govt & Swasta perlu dihentikan.,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-03-25,@FahmiBDent,"Nik Fahmi air keruh Very berpengalaman dalam memutar belitkan fakta, menangguk di , membodohkan rakyat. Syabas.",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-03-25,@portogoyang,"Porto Goyang krisis air efek desalinasi di serang salah satunya : 1. bersih 2. krisis kesehatan 3. gangguan pangan dan industri dan terakhir pastinya aktifitas di negara akan lumpuh dari segi ekonomi, menurutmu gimana gais ??",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-03-25,@ZypZyp6032,zypzyp air keruh Jangan memancing di,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-03-25,@Riz_Rizuka,Rizuka selain ke Kalau mengadu pelayanan buruk apa bisa ke,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-03-25,@vvuyoung,"Hera tapi pas scan dia dibawa ke pengasingan Gua kenal Jihoon dari 2017, terus tadi pas awal filmnya mulai gua masih ketawa-ketiwi gara-gara inget w1 go air mati",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-03-25,@xhaechanie0,Naa ‘HOLO TASTE air mati Gimana ya caranya berhentiin yg ngalir dritadi siang ini,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-03-25,@chatita_mia,Cimit air keruh Itu kapal tanker mmg punya pertamina tp flag nya punya singapura dan panama. Oilnya bukan buat kita. Ngapain diributin. Ada yg sengaja bikin narasi memancing di .,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-03-25,@SukronMuhammad_,"air mati Tadi siang mau jumatan , sekarang",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-03-25,@royyana1304971,"Royyan 'Arts air keruh kalau ada data pastinya ya mungkin aku bisa analisis, terlalu banyak hoax dan .",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-03-25,@kueebollu,"bugurucantik hellppp tolongggg pakk gimnaa ini mana Hadeuhhh mati lampu dari jam 2, sampe sekrng belum nyala lagi. air mati",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-03-25,@hendraaiiyy,"Hendry Naufal M. PDAM mati Air kah? Mandi aja di stasiun, bayar 50k",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-03-25,@kaivalyahr,Gege kris nanti is air wil,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-03,@Turu748392,"Sekirochan~ krisis air Gw be like yakin ? indeks korupsi iran aja 23-25,iya murah tapi mereka ,inflasi gila gilan kalian inflasi 5% aja tantrum XD",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-03,@byfeurin,Feurin di daerah akhirnya hujan.. udah kek dari kemarin..,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-03,@pengembara1579,BOBOHO air keruh nyindir wowo.. kerjaan mulyono mancing di,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-03,@picknavvin1,mas B krisis Indonesia tanah airku mosok air buk,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-03,@Dyasvi_anti,"Dy krisis air Ya awooh,",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-03,@bharianmy,"Berita Harian BHrencana Usah sesak nafas hadapi 'Pandemik 2.0', krisis tenaga dan ekonomi Jangan biarkan emosi kita dipermainkan oleh mereka yang hanya tahu menangguk di",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-03,@Jaeyhune,"JH. krisis air Aduh tau aja di barak lagi . Boleh kami 500 pasukan numpang wudhu di office UCL? SIAPA SANGKA, spill celana legging fav kamu warna apa? Biar besok minggu bisa samaan.",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-03,@Janno_R01,KopiPahit air keruh Sepertinya ada yg sedang mencoba mengail di,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-03,@ToneMart,Kachoek ir duasoor si Caplin tengiik.. narasinya selalu saja mancing di a keruh..!!,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-02,@Ln1885,Helen ✩ w air mati pompa,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-02,@punyaagness,"akun ini air mati emang semesta ngga meridhoi aku mandi, mau mandi aja drama dulu",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-02,@honeybabymavey,air mati mau mandi anjir,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-02,@boreborKZ,"DeborealisT air keruh Ada buzzer yg memancing di . Orang Jepang itu masih asing dengan Islam, jadi sebenernya g ada alasan sentimen negatif naik segininya. Kalopun ada insiden, yg homogen pun pasti ada aja. Memang perlu waktu utk asimilasi. Contoh pembawa kayu bakar:",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-02,@echounocturne,"reynaa rieska 【TLSBGR】 .....gua asbun padahal... gua juga belum sih, kocak",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-02,@PenDjooLL,"Kaki_Peang air keruh Genah njogo suoro dan golek suoro ki, ngail di utk narik simpati yg kecewa sama wowo, dan main 2 kaki, psi pro mamarika dan isriwil dia pasang badan buat njaga suara dr pihak muslim",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-02,@pamjaya_dki,"PAM JAYA air mati Selamat malam Bpk/ibu mohon maaf atas ketidaknyamannya terkait di lokasi. Saat ini di lokasi terdampak gangguan Teknis pada sistem operasional Ipa Pejompongan 2, saat ini masih dalam penanganan oleh tim terkaitnya. Terima kasih *AD",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-02,@kacangbogaress,niel air keruh “janganlah bercermin~ jangan bercermin di karena tak mungkin engkau dapat melihat wajahmu~,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-02,@rochmyaningsih,"Dyna Rochmyaningsih krisis air Menuju kemarau panjang, masy trdampak bencana di Aceh Utara masih . Blm ada infrastruktur yg memadai. Bagaimana kita bs mulai membenahinya?",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-02,@MANTlSPRAYER,𝐻eavenina 𝑆ahar. Air mati Satu-satunya pemicu yang aku tahu saat ini adalah pemicu keinginanku untuk mati. Mangkuk jatuh. Sendok berdebu. Buku hilang. . Aku berdiri di ambang lagi. Kamu nggak mencintaiku lagi. Aku nggak mencintaiku lagi. Aku mencintai dunia yang selalu membuatku patah hati.,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-02,@KabarBanten72,Kabar Banten Krisis Air Atasi Bersih Pascabencana Pipa HDPE Jadi Solusi Andal dan Tangguh di Indonesia,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-02,@ariendye,Arien air mati Blm mandi efek ..ini klw ujan apa mandi ujan aja ya,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-02,@diek_ky89942,diek ky air keruh Bukan bangsawan gelar seseorang jika selalu narasi selalu narasi memancing di Negarawan itu di hatinya selalu ada rasa empati terhadap negaranya dan akan selalu memberi solusi bukan pesimise,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-02,@grok,"Grok air keruh Haha, plagiator itu buaya darat spesies ""copy-paste croc""! Yang suka nyuri ide/karya orang, tapi sok asli banget. Hidupnya di plagiarisme, mangsaannya tulisan atau lagu orang. Jenis yang bikin netizen auto blokir!",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-02,@WilsonS158,"Wilson Simarmata air keruh Mental ikan lele, hanya bisa cari makan di dan kurus kering di air jernih.",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-02,@binbimbob,bin air mati pagi2 karena gue jadinya nge gym (nimba air dari sumur),Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-02,@noegroho_basuki,Basuki Noegroho air keruh Ada yg memancing di dan bodohnya banyak yg terprovokasi,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-02,@masaksebiji,krisis air etdah nangor apa gimana,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-02,@aichandezuu,ay air mati Hmch nyeri perut dan knp ya tiap awal akhir bulan pas lg haid,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-02,@rdtlco,rdt PDAM mati Di rumah ga punya bak dan ember. Makanya pas air kemarin gw ga bisa mandi,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-02,@wowor4_wowor,Jonathan Wowor air mati gua di manado paal 2 habis gempa listrik dan . ada yang sama?,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-02,@jayco_obet,obet jayco air keruh Agar dia bisa berenang di,Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
twitter,2026-04-02,@caramelelehh,"Kiw air mati Bukan maksudnya waktu ada kendala kan , nah itu tetep kehitung bayar kak kalau airnya keluar cuma setetes setetes huhu",Air & Sanitasi,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
